id,date,user_id,year,usa_boulders,name,climb_type
3275,952210800,95,2000,V5,"Black Boulder Problem",1
3279,975279600,173,2000,V10,"Black Feet",1
3431,975711600,25,2000,V9,"Dark Matter",1
3504,975798000,69,2000,V8,Official,1
3505,975798000,69,2000,V5,"? in the cave",1
3506,975798000,69,2000,V5,"Moby's Eye",1
3507,975798000,69,2000,V6,"? in The Cave",1
3508,975798000,69,2000,V5,?face-IcePond,1
3509,974502000,108,2000,V7,"Slush Puppy",1
3510,974502000,108,2000,V6,1111,1
3588,949359600,18,2000,V6,"le toit de calvaire",1
3603,972770400,38,2000,V6,"The Young American",1
3604,969400800,38,2000,V6,Panzer,1
3605,969400800,38,2000,V6,Tiger,1
3607,971733600,38,2000,V8,"The Attitude Inspect",1
3608,973033200,38,2000,V6,"Flying Arete",1
3609,969746400,38,2000,V6,"Wobble Block",1
3610,971733600,38,2000,V7,"Little Brown Thug",1
3617,967932000,67,2000,V10,"left of anorexic",1
3618,965685600,67,2000,V9,anorexic,1
3641,976402800,69,2000,V8,"New Pair of Glasses",1
3642,976402800,69,2000,V7,"White Boys",1
3643,976402800,69,2000,V5,"Gill's Pinch Roof",1
3671,976402800,118,2000,V11,"The Maxx",1
3672,976402800,118,2000,V11,"L'Intégrale Autre Toit",1
3673,976402800,118,2000,V11,Karma,1
3674,976402800,118,2000,V11,"Hyper tension",1
3678,976316400,38,2000,V6,"Conan the Librarian",1
3679,976316400,38,2000,V7,Unnamed,1
3689,976402800,118,2000,V11,Atresie,1
3731,971733600,38,2000,V8,Unamed,1
3732,971733600,38,2000,V8,Unamed,1
3733,969746400,38,2000,V8,Unamed,1
3734,971733600,38,2000,V7,Unamed,1
3735,970610400,38,2000,V6,Unamed,1
3736,972770400,38,2000,V6,Unamed,1
3737,972770400,38,2000,V6,Unamed,1
3738,972770400,38,2000,V6,Unamed,1
3739,972770400,38,2000,V6,Unamed,1
3741,976662000,118,2000,V12,Fatman,1
3742,976662000,118,2000,V12,Gourmandise,1
3761,975366000,127,2000,V8,"The Bulldog",1
3762,937605600,127,1999,V6,"Happy Days",1
3784,976748400,38,2000,V6,Unmed,1
3785,976748400,38,2000,V6,Yabadabadoo,1
3786,976748400,38,2000,V6,Unmed,1
3933,926200800,88,1999,V10,"Ezina ekina",1
4050,957132000,173,2000,V0-,"",1
4087,957132000,6,2000,V10,"Rocket Man",1
4088,951865200,6,2000,V9,"Extended Heart",1
4089,951865200,6,2000,V9,"Amniotic World",1
4293,977439600,173,2000,V12,Mandala,1
4294,977439600,173,2000,V11,"Plain High Drifter",1
4473,962402400,10,2000,V2,"Fettot har vita jeans",1
4532,977612400,95,2000,V6,"Hueco Wall",1
4533,977958000,95,2000,V6,Commando,1
4534,978217200,95,2000,V5,"JBMFP (John Bachar)",1
4809,999295200,79,2001,V6,"Kleine Kakarlake",1
4811,968364000,79,2000,V6,Quergang,1
4838,977871600,161,2000,V5,Shotgun,1
4894,976921200,56,2000,V9,"Blody Arete SD",1
4895,978562800,56,2001,V6,"Kuhuna Roof",1
4896,978562800,56,2001,V5,"Sloper Chief",1
4897,978562800,56,2001,V8,"Super Chief",1
4901,976316400,56,2000,V8,UCT,1
5104,978822000,28,2001,V8,Segundo,1
5164,979081200,118,2001,V13,Spectre,1
5240,971215200,42,2000,V8,"Rump to Jump",1
5242,971301600,42,2000,V7,"Hats Off",1
5546,979686000,11,2001,V8,"Stålmannen",1
5547,979686000,11,2001,V8,"Stålgepetto",1
5577,979426800,19,2001,V3,"La Marie-Rose",1
5800,978217200,145,2000,V10,"Casa Pecora",1
5801,978217200,145,2000,V14,?,1
5802,978217200,145,2000,V12,"Dreamtime Stand",1
5803,978217200,145,2000,V13,Capocira,1
5804,978217200,145,2000,V13,"Caldo fumo",1
5805,978217200,145,2000,V11,?,1
5806,978217200,145,2000,V12,"Terzo cane",1
5807,978217200,145,2000,V12,"Secondo Uomo",1
5808,978217200,145,2000,V12,"Serre moi fort",1
5809,978217200,145,2000,V11,"Prima la Signora",1
5810,978217200,145,2000,V10,"La Grotte des Soupirs",1
5871,978303600,155,2001,V9,"Polyp Piece",1
5898,968968800,145,2000,V13,Lindentaler,1
5899,968968800,145,2000,V13,"The Squeeze",1
5900,968968800,145,2000,V13,Hosentaschenbillard,1
5901,971560800,145,2000,V13,Ariane,1
5902,968968800,145,2000,V13,"Le Grand Arête...",1
5981,979945200,118,2001,V12,"Black lung",1
6049,980290800,28,2001,V6,?,1
6128,980377200,118,2001,V10,"Stained Glass",1
6129,980377200,118,2001,V10,"Blood spud",1
6130,980377200,118,2001,V10,"Entyer the dragon",1
6131,980377200,118,2001,V10,"Acid Wash",1
6132,980377200,118,2001,V11,"Plain High Drifter",1
6133,979945200,118,2001,V10,"Resident evil",1
6134,980636400,38,2001,V6,"Walnut Whip",1
6297,980809200,167,2001,V4,Bull,1
6301,980895600,11,2001,V6,Mojo,1
6302,980895600,11,2001,V7,"Grodan Boll",1
6346,980809200,95,2001,V6,"Cave Route",1
6363,974502000,65,2000,V7,Hulk,1
6364,974847600,65,2000,V6,"Action Figure",1
6365,970869600,65,2000,V6,"Kahuna Roof",1
6366,972770400,65,2000,V7,"Days of Whining Pose",1
6367,974502000,65,2000,V6,Rave,1
6368,978130800,65,2000,V7,"Every Color You Are",1
6369,977871600,65,2000,V7,"Mass Distraction",1
6370,978562800,65,2001,V7,"Cave Route",1
6371,978390000,65,2001,V7,"Rio's Crack",1
6372,978130800,65,2000,V6,"Mr. Happy",1
6373,978130800,65,2000,V6,"Girl Country",1
6374,978217200,65,2000,V6,"Prostrate to Higher",1
6382,980377200,118,2001,V12,Buttermilker,1
6486,981500400,38,2001,V6,"The Sheep Arete",1
6860,982105200,38,2001,V6,"Safe Bet",1
6861,982105200,38,2001,V6,"Nicotine Stain",1
6889,982191600,38,2001,V8,Unnamed,1
6890,982191600,38,2001,V7,Unamed,1
6909,959810400,65,2000,V3,??,1
6921,982278000,11,2001,V6,Cannonball,1
6928,982364400,38,2001,V8,unamed,1
6962,966290400,88,2000,V6,Techo,1
6963,982364400,88,2001,V6,Lance,1
6964,982364400,88,2001,V4,Desplome,1
6980,982364400,18,2001,V6,"Jeux de toit",1
6981,982364400,18,2001,V7,Graviton,1
6982,982364400,18,2001,V7,"Sphincters Toniques",1
6985,982537200,18,2001,V6,"La vie d'ange",1
7012,982450800,38,2001,V6,"Pebble No.9",1
7013,982450800,38,2001,V6,"North Face Trav.",1
7014,982450800,38,2001,V6,"A - B Top (FOB)",1
7015,982450800,38,2001,V7,"A - Top (FOB)",1
7016,982191600,38,2001,V6,"All Stars' Goal",1
7017,982191600,38,2001,V7,Unamed,1
7018,982364400,38,2001,V6,"Problem 6",1
7019,982364400,38,2001,V6,"Problem 13",1
7020,982364400,38,2001,V6,"Problem 16",1
7021,982364400,38,2001,V6,"Green Death Start",1
7061,951519600,65,2000,V6,"Mole People",1
7062,951606000,65,2000,V5,Prow,1
7063,951606000,65,2000,V5,Center-Mental,1
7085,960328800,65,2000,V7,"Disco Sucks",1
7092,968623200,65,2000,V5,"Best V5 in the World",1
7095,969314400,65,2000,V6,"Pinch Overhang-jump",1
7098,971128800,65,2000,V7,"Pinch Over (no jump)",1
7100,972770400,65,2000,V6,"Sloper Chief",1
7101,974502000,65,2000,V6,Serengeti,1
7102,974674800,65,2000,V5,"Ironman Traverse",1
7103,975193200,65,2000,V7,"It's Ice",1
7104,975193200,65,2000,V7,"Chubby Demon",1
7105,982537200,160,2001,V9,"Iron Man",1
7106,979426800,65,2001,V5,Cigarettes...Kill,1
7107,979426800,65,2001,V4,"Laserbeam Crack",1
7124,956181600,88,2000,V5,Jibe,1
7218,982364400,167,2001,V5,Fri,1
7219,982710000,167,2001,V4,"Smärta",1
